Name,Color,Current price,Price with citilink card,Product code,Url
Ноутбук Huawei MateBook D 15,серебристый,52 999,52 899,53013HST,https://www.citilink.ru/product/noutbuk-huawei-matebook-d-ryzen-5-5500u-8gb-ssd512gb-15-6-ips-fhd-w11-1774300/
Ноутбук Lenovo IP Gaming 3 15ACH6,черный,78 990,78 890,82K201D1RK,https://www.citilink.ru/product/noutbuk-lenovo-ip-gaming-3-15ach6-ryzen-5-5600h-8gb-ssd256gb-rtx-3050-1595005/
Ноутбук Huawei MateBook D 16,серый,63 990,63 890,53013JHP,https://www.citilink.ru/product/noutbuk-huawei-matebook-i5-12500h-16gb-ssd512gb-16-ips-w11-grey-space-1774287/
Ноутбук Acer Aspire 3 A315-23-R5B8,серебристый,40 990,40 890,NX.HVUER.006,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r5b8-ryzen-5-3500u-8gb-1tb-15-6-fhd-noos-1404159/
Ноутбук HP 15s-eq1138ur,серый,24 990,24 890,22V11EA,https://www.citilink.ru/product/noutbuk-hp-15s-eq1138ur-athlon-3020e-4gb-ssd128gb-15-6-ips-fhd-w10-gre-1402165/
Ноутбук Huawei MateBook D 15,серый,48 990,48 890,53013GHA,https://www.citilink.ru/product/noutbuk-huawei-matebook-d-i5-1135g7-8gb-ssd256gb-15-6-ips-fhd-w11-grey-1774316/
Ноутбук Lenovo IdeaPad 3 17ITL6,серый,26 990,26 890,82H9003DRK,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-17itl6-cel-6305-4gb-ssd256gb-17-3-tn-hd-noos-1487469/
Ноутбук Acer Nitro 5 AN515-57-51GK,черный,95 990,95 890,NH.QESER.003,https://www.citilink.ru/product/noutbuk-acer-aspire-an515-57-51gk-i5-11400h-16gb-ssd512gb-rtx-3050-ti-1618861/
Ноутбук HP 15s-fq0082ur,серый,23 990,23 890,3D4V8EA,https://www.citilink.ru/product/noutbuk-hp-15s-fq0082ur-cel-n4020-4gb-ssd128gb-15-6-ips-fhd-dos3-0-gre-1473317/
Ноутбук Lenovo IdeaPad 3 15ITL05,серый,41 990,41 890,81X800BGRK,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-15itl05-i3-1115g4-8gb-ssd256gb-15-6-ips-fhd-n-1492046/
Ноутбук Lenovo IdeaPad 3 15ITL05,серый,45 990,45 890,81X800BKRK,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-15itl05-i3-1115g4-8gb-ssd512gb-15-6-ips-fhd-n-1492045/
Ноутбук Acer Aspire 3 A315-23-R8WC,черный,37 990,37 890,NX.HVTER.01L,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r8wc-ryzen-5-3500u-4gb-ssd256gb-15-6-fhd-1404156/
Ноутбук Acer Aspire 3 A315-23-R6JR,черный,47 990,47 890,NX.HVTER.02Z,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r6jr-ryzen-5-3500u-8gb-1tb-ssd256gb-vega-1672261/
Ноутбук Acer Aspire 3 A315-56-38MN,черный,37 990,37 890,NX.HS5ER.00B,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-56-38mn-15-6-intel-core-i3-1005g1-1-2ggc-8g-1194671/
Ноутбук Huawei MateBook D 16,серый,79 990,79 890,53012QWM,https://www.citilink.ru/product/noutbuk-huawei-matebook-d-16-ryzen-5-4600h-16gb-ssd512gb-16-1-ips-fhd-1686487/
Ноутбук ASUS A516EA-EJ1448,серебристый,37 990,37 890,90NB0TY2-M24060,https://www.citilink.ru/product/noutbuk-asus-a516ea-ej1448-pg-7505-8gb-ssd256gb-15-6-tn-fhd-noos-1583747/
Ультрабук Honor MagicBook,серебристый,79 990,79 890,5301ABCM,https://www.citilink.ru/product/ultrabuk-honor-magicbook-ryzen-5-5600h-16gb-ssd512gb-16-1-ips-fhd-w10-1660591/
Ноутбук IRBIS NB NB78,голубой,11 990,11 890,NB78,https://www.citilink.ru/product/noutbuk-irbis-nb-nb78-cel-j3455-4gb-500-13-3-ips-hd-w10-black-4500mah-1621918/
Ноутбук Huawei MateBook D 14,серый,49 990,49 790,53011UXA,https://www.citilink.ru/product/noutbuk-huawei-matebook-d-14-nbb-wai9-i5-10210u-8gb-ssd512gb-mx250-14-1559063/
Ультрабук Honor MagicBook 15,серый,69 990,69 890,53011WHD,https://www.citilink.ru/product/ultrabuk-honor-magicbook-15-ryzen-5-5500u-16gb-ssd512gb-15-6-ips-fhd-w-1602659/
Ноутбук ASUS VivoBook A516MA-BQ498,серый,36 990,36 890,90NB0TH1-M10570,https://www.citilink.ru/product/noutbuk-asus-a516ma-bq299-pen-n5030-8gb-ssd256gb-15-ips-hd-noos-1497725/
Ноутбук Digma EVE 15 P417,темно-серый,20 990,19 990,ES5063EW,https://www.citilink.ru/product/noutbuk-digma-eve-15-p4xx-15-6-ips-intel-pentium-j3710-4gb-128gb-ssd-i-1470838/
Ноутбук HP 250 G7,темно-серебристый,22 990,22 890,1F3J4EA,https://www.citilink.ru/product/noutbuk-hp-250-g7-cel-n4020-4gb-ssd128gb-600-15-6-hd-noos-silver-1601143/
Ноутбук Huawei MateBook 14,серый,74 990,73 090,53012NVL,https://www.citilink.ru/product/noutbuk-huawei-matebook-14-i5-1135g7-16gb-ssd512gb-14-ips-w10-grey-1617484/
Ноутбук Acer Aspire 1 A114-33-C767,серебристый,20 990,20 890,NX.A7VER.00W,https://www.citilink.ru/product/noutbuk-acer-aspire-1-a114-33-c767-cel-n5100-4gb-ssd128gb-14-ips-fhd-e-1624969/
Ноутбук Digma EVE 14 C411,темно-серый,15 990,15 890,ES4058EW,https://www.citilink.ru/product/noutbuk-digma-eve-14-windows-14-1-ips-intel-celeron-n3350-4gb-128gb-ss-1442113/
Ноутбук ASUS TUF Gaming F15 FX506HM-HN220W,черный,119 990,119 890,90NR0754-M002R0,https://www.citilink.ru/product/noutbuk-asus-tuf-gaming-fx506hm-hn220w-i5-11400h-16gb-ssd512gb-rtx-306-1654777/
Ноутбук Acer Aspire 1 A114-33-P7VD,серебристый,22 990,22 890,NX.A7VER.00A,https://www.citilink.ru/product/noutbuk-acer-aspire-1-a114-33-p7vd-14-intel-pentium-silver-n6000-8gb-1-1439570/
Ноутбук Acer Aspire 5 A515-45-R0KR,черный,36 990,36 890,NX.A85ER.00P,https://www.citilink.ru/product/noutbuk-acer-aspire-5-a515-45-r0kr-ryzen-3-5300u-8gb-ssd128gb-15-6-fhd-1521493/
Ноутбук Acer Aspire 3 A315-56-33X5,черный,36 990,36 890,NX.HS5ER.00C,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-56-33x5-15-6-intel-core-i3-1005g1-1-2ggc-8g-1194672/
Ноутбук Lenovo IdeaPad 3 17ITL6,серый,41 990,41 890,82H9003QRU,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-17itl6-pg-7505-8gb-ssd256gb-17-3-tn-hd-w10-gr-1487462/
Ноутбук Acer Aspire 5 A515-45-R5K7,черный,48 990,48 890,NX.A85ER.00G,https://www.citilink.ru/product/noutbuk-acer-aspire-5-a515-45-r5k7-ryzen-5-5500u-8gb-ssd128gb-15-6-ips-1521505/
Ноутбук Lenovo IdeaPad 3 17ITL6,серый,38 990,38 890,82H9003ERK,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-17itl6-pg-7505-8gb-ssd256gb-17-3-tn-hd-noos-g-1487467/
Ноутбук Acer Aspire 3 A315-23-R7DU,черный,49 990,49 890,NX.HVTER.030,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r7du-ryzen-5-3500u-8gb-1tb-ssd256gb-vega-1672268/
Ноутбук Huawei MateBook 16,серый космос,86 999,86 899,53012VNB,https://www.citilink.ru/product/noutbuk-huawei-matebook-16-ryzen-7-5800h-16gb-ssd512gb-16-ips-2-5k-w11-1686470/
Ноутбук HP 250 G7,темно-серебристый,23 990,23 890,2M3D3ES,https://www.citilink.ru/product/noutbuk-hp-250-g7-cel-n4020-4gb-ssd256gb-600-15-6-hd-w10-silver-1601146/
Ноутбук Lenovo IdeaPad 3 17ADA05,серый,33 990,33 890,81W2008DRK,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-17ada05-athlon-3020e-8gb-ssd256gb-17-3-tn-hd-1492776/
Ноутбук Huawei MateBook 14,серый,79 990,77 890,53011PWA,https://www.citilink.ru/product/noutbuk-huawei-matebook-d-14-klvd-wfh9-i5-10210u-16gb-ssd512gb-14-ips-1531314/
Ноутбук ASUS A516MA-BQ736,серый,29 990,29 890,90NB0TH1-M003V0,https://www.citilink.ru/product/noutbuk-asus-a516ma-bq736-cel-n4020-8gb-ssd256gb-15-6-ips-fhd-noos-gre-1654519/
Ноутбук Acer Aspire 3 A315-23-R55F,черный,43 990,43 890,NX.HVTER.007,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r55f-ryzen-5-3500u-8gb-ssd256gb-vega-8-1-1372513/
Ноутбук ASUS Vivobook Pro 14X OLED N7400PC-KM011W,серебристый,99 990,99 890,90NB0U44-M02760,https://www.citilink.ru/product/noutbuk-asus-n7400pc-km050t-i5-11300h-16gb-ssd512gb-rtx-3050-4gb-14-ol-1523023/
Ноутбук Acer Aspire 3 A315-23-R605,черный,44 990,44 890,NX.HVTER.009,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r605-ryzen-5-3500u-8gb-1tb-ssd128gb-vega-1372512/
Ноутбук Apple MacBook Air,серебристый,160 990,160 890,Z12700034,https://www.citilink.ru/product/noutbuk-apple-macbook-air-13-3-ips-apple-m1-16gb-256gb-ssd-mac-os-z127-1451532/
Ноутбук Apple MacBook Air,серый космос,169 990,169 890,Z1240004P,https://www.citilink.ru/product/noutbuk-apple-macbook-air-13-3-ips-apple-m1-16gb-256gb-ssd-mac-os-z124-1451522/
Ноутбук Huawei MateBook D 15,серый,37 999,37 899,53013GHC,https://www.citilink.ru/product/noutbuk-huawei-matebook-d-i3-1115g4-8gb-ssd256gb-15-6-ips-fhd-w11-grey-1774325/
Ноутбук MSI Sword 15 A11UE-212XRU,белый,106 990,106 890,9S7-158113-212,https://www.citilink.ru/product/noutbuk-msi-sword-15-a11ue-i5-11400h-8gb-ssd512gb-rtx-3060-6gb-15-6-ip-1522761/
Ноутбук ASUS A416EA-EB1033W,серый,27 990,27 890,90NB0TT2-M17870,https://www.citilink.ru/product/noutbuk-asus-a416ea-eb1033w-pg-7505-4gb-ssd128gb-14-ips-fhd-w11-1583735/
Ноутбук Acer Nitro 5 AN515-57-58MU,черный,90 990,90 890,NH.QESER.00K,https://www.citilink.ru/product/noutbuk-acer-nitro-5-an515-57-58mu-i5-11400h-8gb-ssd512gb-rtx-3050-ti-1652750/
Ноутбук Huawei MateBook D 15,серый,69 990,69 890,53012QNW,https://www.citilink.ru/product/noutbuk-huawei-matebook-d-15-i5-1135g7-8gb-ssd512gb-15-6-ips-fhd-w10-g-1634625/
Ноутбук MSI GP66 Leopard 11UG-285XRU,черный,169 990,169 890,9S7-154322-285,https://www.citilink.ru/product/noutbuk-msi-gp66-leopard-11ug-i7-11800h-16gb-ssd512gb-rtx-3070-8gb-15-1522529/
Ноутбук Acer Aspire 7 A715-42G-R64S,черный,79 990,79 890,NH.QBFER.00C,https://www.citilink.ru/product/noutbuk-acer-aspire-7-a715-42g-r64s-ryzen-5-5500u-16gb-ssd512gb-gtx-16-1523133/
Ноутбук IRBIS NB NB655,серебристый,15 990,15 890,NB655,https://www.citilink.ru/product/noutbuk-irbis-nb-nb655-pen-j3710-4gb-emmc128gb-13-5-ips-3k-w10pro-silv-1512589/
Ноутбук ASUS A416JA-EB1185,серый,44 990,44 890,90NB0ST2-M23960,https://www.citilink.ru/product/noutbuk-asus-a416ja-eb1185-i5-1035g1-8gb-ssd256gb-14-ips-fhd-noos-1583737/
Ноутбук MSI Sword 15 A12UE-286XRU,белый,108 990,108 890,9S7-158333-286,https://www.citilink.ru/product/noutbuk-msi-sword-15-a12ue-286xru-i5-12500h-8gb-ssd512gb-rtx-3060-6gb-1676167/
Ноутбук HP 240 G8,черный,18 990,18 890,27K37EA,https://www.citilink.ru/product/noutbuk-hp-240-g8-cel-n4020-4gb-500gb-14-sva-hd-dos3-0-1478497/
