Name,Color,Current price,Price with citilink card,Url
Ноутбук Huawei MateBook D 15,серебристый,52 999,52 899,https://www.citilink.ru/product/noutbuk-huawei-matebook-d-ryzen-5-5500u-8gb-ssd512gb-15-6-ips-fhd-w11-1774300/
Ноутбук Huawei MateBook D 16,серый,63 990,63 890,https://www.citilink.ru/product/noutbuk-huawei-matebook-i5-12500h-16gb-ssd512gb-16-ips-w11-grey-space-1774287/
Ноутбук Lenovo IP Gaming 3 15ACH6,черный,78 990,78 890,https://www.citilink.ru/product/noutbuk-lenovo-ip-gaming-3-15ach6-ryzen-5-5600h-8gb-ssd256gb-rtx-3050-1595005/
Ноутбук Acer Aspire 3 A315-23-R5B8,серебристый,40 990,40 890,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r5b8-ryzen-5-3500u-8gb-1tb-15-6-fhd-noos-1404159/
Ноутбук Lenovo IdeaPad 3 17ITL6,серый,26 990,26 890,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-17itl6-cel-6305-4gb-ssd256gb-17-3-tn-hd-noos-1487469/
Ноутбук HP 15s-fq0082ur,серый,23 990,23 890,https://www.citilink.ru/product/noutbuk-hp-15s-fq0082ur-cel-n4020-4gb-ssd128gb-15-6-ips-fhd-dos3-0-gre-1473317/
Ноутбук Lenovo IdeaPad 3 15ITL05,серый,45 990,45 890,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-15itl05-i3-1115g4-8gb-ssd512gb-15-6-ips-fhd-n-1492045/
Ноутбук Lenovo IdeaPad 3 15ITL05,серый,41 990,41 890,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-15itl05-i3-1115g4-8gb-ssd256gb-15-6-ips-fhd-n-1492046/
Ноутбук Acer Aspire 3 A315-56-38MN,черный,35 990,35 890,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-56-38mn-15-6-intel-core-i3-1005g1-1-2ggc-8g-1194671/
Ноутбук Huawei MateBook D 14,серый,49 990,49 790,https://www.citilink.ru/product/noutbuk-huawei-matebook-d-14-nbb-wai9-i5-10210u-8gb-ssd512gb-mx250-14-1559063/
Ультрабук Honor MagicBook 15,серый,69 990,69 890,https://www.citilink.ru/product/ultrabuk-honor-magicbook-15-ryzen-5-5500u-16gb-ssd512gb-15-6-ips-fhd-w-1602659/
Ноутбук Acer Aspire 1 A114-33-C767,серебристый,20 990,20 890,https://www.citilink.ru/product/noutbuk-acer-aspire-1-a114-33-c767-cel-n5100-4gb-ssd128gb-14-ips-fhd-e-1624969/
Ноутбук Digma EVE 15 P417,темно-серый,18 990,18 490,https://www.citilink.ru/product/noutbuk-digma-eve-15-p4xx-15-6-ips-intel-pentium-j3710-4gb-128gb-ssd-i-1470838/
Ноутбук HP 250 G7,темно-серебристый,22 990,22 890,https://www.citilink.ru/product/noutbuk-hp-250-g7-cel-n4020-4gb-ssd128gb-600-15-6-hd-noos-silver-1601143/
Ноутбук Acer Aspire 1 A114-33-P7VD,серебристый,22 990,22 890,https://www.citilink.ru/product/noutbuk-acer-aspire-1-a114-33-p7vd-14-intel-pentium-silver-n6000-8gb-1-1439570/
Ноутбук Acer Aspire 5 A515-45-R0KR,черный,38 990,38 890,https://www.citilink.ru/product/noutbuk-acer-aspire-5-a515-45-r0kr-ryzen-3-5300u-8gb-ssd128gb-15-6-fhd-1521493/
Ноутбук Huawei MateBook 16,серый космос,86 999,86 899,https://www.citilink.ru/product/noutbuk-huawei-matebook-16-ryzen-7-5800h-16gb-ssd512gb-16-ips-2-5k-w11-1686470/
Ноутбук Digma EVE 14 C411,темно-серый,15 990,15 890,https://www.citilink.ru/product/noutbuk-digma-eve-14-windows-14-1-ips-intel-celeron-n3350-4gb-128gb-ss-1442113/
Ноутбук Acer Aspire 3 A315-56-33X5,черный,34 990,34 890,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-56-33x5-15-6-intel-core-i3-1005g1-1-2ggc-8g-1194672/
Ноутбук Huawei MateBook D 15,серый,37 999,37 899,https://www.citilink.ru/product/noutbuk-huawei-matebook-d-i3-1115g4-8gb-ssd256gb-15-6-ips-fhd-w11-grey-1774325/
Ноутбук Lenovo IdeaPad 3 17ITL6,серый,40 990,40 890,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-17itl6-pg-7505-8gb-ssd256gb-17-3-tn-hd-w10-gr-1487462/
Ноутбук HP 250 G7,темно-серебристый,23 990,23 890,https://www.citilink.ru/product/noutbuk-hp-250-g7-cel-n4020-4gb-ssd256gb-600-15-6-hd-w10-silver-1601146/
Ноутбук Lenovo IdeaPad 3 17ADA05,серый,33 990,33 890,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-17ada05-athlon-3020e-8gb-ssd256gb-17-3-tn-hd-1492776/
Ноутбук Lenovo IdeaPad 3 17ITL6,серый,38 990,38 890,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-17itl6-pg-7505-8gb-ssd256gb-17-3-tn-hd-noos-g-1487467/
Ноутбук ASUS Vivobook Pro 14X OLED N7400PC-KM011W,серебристый,99 990,99 890,https://www.citilink.ru/product/noutbuk-asus-n7400pc-km050t-i5-11300h-16gb-ssd512gb-rtx-3050-4gb-14-ol-1523023/
Ноутбук ASUS A416EA-EB1033W,серый,27 990,27 890,https://www.citilink.ru/product/noutbuk-asus-a416ea-eb1033w-pg-7505-4gb-ssd128gb-14-ips-fhd-w11-1583735/
Ноутбук Huawei MateBook D 16,серый,72 990,72 890,https://www.citilink.ru/product/noutbuk-huawei-matebook-i7-12700h-16gb-ssd512gb-16-ips-w11-grey-space-1774284/
Ноутбук IRBIS NB NB655,серебристый,15 990,15 890,https://www.citilink.ru/product/noutbuk-irbis-nb-nb655-pen-j3710-4gb-emmc128gb-13-5-ips-3k-w10pro-silv-1512589/
Ноутбук HP 240 G8,черный,18 990,18 890,https://www.citilink.ru/product/noutbuk-hp-240-g8-cel-n4020-4gb-500gb-14-sva-hd-dos3-0-1478497/
Ноутбук Acer Aspire 3 A315-23-R55F,черный,43 990,43 890,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r55f-ryzen-5-3500u-8gb-ssd256gb-vega-8-1-1372513/
Ноутбук MSI Sword 15 A11UE-212XRU,белый,106 990,106 890,https://www.citilink.ru/product/noutbuk-msi-sword-15-a11ue-i5-11400h-8gb-ssd512gb-rtx-3060-6gb-15-6-ip-1522761/
Ноутбук ASUS A416JA-EB1185,серый,43 990,43 890,https://www.citilink.ru/product/noutbuk-asus-a416ja-eb1185-i5-1035g1-8gb-ssd256gb-14-ips-fhd-noos-1583737/
Ноутбук Lenovo IdeaPad 3 17ITL6,серый,25 990,25 890,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-17itl6-cel-6305-4gb-ssd128gb-17-3-tn-hd-w10-g-1487473/
Ноутбук Huawei MateBook D 15,серый,94 990,94 890,https://www.citilink.ru/product/noutbuk-huawei-matebook-d-15-i7-1165g7-16gb-ssd512gb-15-6-ips-fhd-w11-1686498/
Ноутбук Acer Aspire 3 A315-23-R5HA,черный,34 990,34 890,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r5ha-ryzen-3-3250u-8gb-ssd128gb-15-6-fhd-1404134/
Ноутбук ASUS Vivobook Pro 14 OLED K3400PA-KM047W,синий,78 990,78 890,https://www.citilink.ru/product/noutbuk-asus-k3400pa-km047w-i5-11300h-16gb-ssd512gb-14-oled-wq-w11-1583780/
Ноутбук ASUS Vivobook Go 15 E510MA-BQ509W,синий,22 990,22 890,https://www.citilink.ru/product/noutbuk-asus-vivobook-e510ma-bq509w-cel-n4020-4gb-ssd128gb-15-6-ips-fh-1583406/
Ноутбук HAIER U1520HD,черный,18 990,18 890,https://www.citilink.ru/product/noutbuk-haier-u1520hd-cel-n4020-4gb-1tb-emmc64gb-600-15-6-ips-fhd-dos-1611418/
Ноутбук IRBIS NB NB510,черный,34 990,34 890,https://www.citilink.ru/product/noutbuk-irbis-nb-nb510-i3-5005u-8gb-ssd256gb-5500-15-6-ips-fhd-w10h-si-1616485/
Ноутбук Lenovo Thinkbook 15 G3 ACL,серый,42 990,42 890,https://www.citilink.ru/product/noutbuk-lenovo-thinkbook-15-g3-acl-ryzen-3-5300u-4gb-ssd256gb-15-6-fhd-1487958/
Ноутбук HP 245 G8,темно-серебристый,24 990,24 890,https://www.citilink.ru/product/noutbuk-hp-245-g8-14-amd-athlon-silver-3050u-4gb-256gb-ssd-windows-10-1477004/
Ноутбук Acer Aspire 5 A515-45-R1K6,серебристый,39 990,39 890,https://www.citilink.ru/product/noutbuk-acer-aspire-5-a515-45-r1k6-ryzen-3-5300u-8gb-ssd128gb-15-6-fhd-1521421/
Ноутбук IRBIS NB NB656,черный,14 990,14 890,https://www.citilink.ru/product/noutbuk-irbis-nb-nb656-pen-j3710-4gb-13-5-ips-w10pro-silver-5000mah-1598740/
Ноутбук ASUS Vivobook Pro 16X OLED N7600PC-L2048W,серый,113 990,113 890,https://www.citilink.ru/product/noutbuk-asus-n7600pc-l2048w-i5-11300h-16gb-ssd512gb-rtx-3050-4gb-16-ol-1583147/
Ноутбук IRBIS NB NB73,белый,13 990,13 890,https://www.citilink.ru/product/noutbuk-irbis-nb-nb73-atom-x5-j3455-4gb-ssd64gb-13-3-ips-touch-fhd-w10-1496742/
Ноутбук HP 14s-fq0094ur,черный,29 990,29 890,https://www.citilink.ru/product/noutbuk-hp-14s-fq0094ur-ryzen-3-3250u-4gb-ssd128gb-14-ips-fhd-w10-blac-1473255/
Ноутбук Lenovo IdeaPad 3 17ITL6,синий,40 990,40 890,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-17itl6-pg-7505-8gb-ssd256gb-17-3-tn-hd-w10-bl-1487445/
Ноутбук ASUS Vivobook Pro 15 OLED K3500PA-L1091W,синий,79 990,79 890,https://www.citilink.ru/product/noutbuk-asus-vivobook-pro-k3500pa-l1091w-i5-11300h-16gb-ssd512gb-15-6-1651630/
Ноутбук Acer Aspire 3 A315-56-50Z5,черный,44 990,44 890,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-56-50z5-15-6-intel-core-i5-1035g1-1ggc-8gb-1194682/
Ноутбук HP 15s-eq1332ur,серый,23 990,23 890,https://www.citilink.ru/product/noutbuk-hp-15s-eq1332ur-athlon-3020e-4gb-ssd128gb-15-6-ips-fhd-w10-gre-1473416/
Ноутбук Acer Aspire 3 A315-23-R2QK,серебристый,34 990,34 890,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r2qk-ryzen-3-3250u-8gb-ssd128gb-15-6-fhd-1404135/
Ноутбук Acer Aspire 5 A514-54-31W4,черный,44 990,44 890,https://www.citilink.ru/product/noutbuk-acer-aspire-5-a514-54-31w4-i3-1115g4-8gb-1tb-ssd128gb-14-ips-f-1521009/
Ноутбук ASUS L210MA-GJ243T,синий,20 990,20 890,https://www.citilink.ru/product/noutbuk-asus-l210ma-gj243t-cel-n4020-4gb-ssd128gb-11-6-hd-w10-1579467/
Ноутбук HP 15s-fq0081ur,серый,23 990,23 890,https://www.citilink.ru/product/noutbuk-hp-15s-fq0081ur-cel-n4020-4gb-ssd128gb-15-6-ips-fhd-w10-grey-1473320/
Ноутбук Lenovo IdeaPad 3 17ADA05,серый,33 990,33 890,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-17ada05-ath-gl-3150u-4gb-ssd256gb-17-3-tn-hd-1487557/
Ноутбук Lenovo IP Gaming 3 15ACH6,черный,89 990,89 890,https://www.citilink.ru/product/noutbuk-lenovo-ip-gaming-3-15ach6-ryzen-5-5600h-8gb-ssd512gb-rtx-3050-1490178/
Ноутбук ASUS Vivobook Go 15 E510KA-BQ098T,черный,27 990,27 890,https://www.citilink.ru/product/noutbuk-asus-e510ka-bq098t-pen-n6000-4gb-ssd128gb-15-6-ips-fhd-w10-bla-1561845/
Ноутбук IRBIS NB NB701,черный,18 990,18 890,https://www.citilink.ru/product/noutbuk-irbis-nb-nb701-cel-n4020-4gb-128gb-17-3-tn-hd-w10pro-black-400-1607641/
Ноутбук HP 255 G8,темно-серебристый,27 990,27 890,https://www.citilink.ru/product/noutbuk-hp-255-g8-athlon-3050u-4gb-ssd128gb-15-6-fhd-w10pro64-1490205/
Ноутбук ASUS Vivobook Go 14 E410KA-EB165T,синий,25 990,25 890,https://www.citilink.ru/product/noutbuk-asus-e410ka-eb165t-pen-n6000-4gb-ssd128gb-14-fhd-w10-blue-1561877/
Ноутбук Lenovo IdeaPad 3 17ADA05,серый,37 990,37 890,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-17ada05-athlon-3020e-8gb-ssd256gb-17-3-tn-hd-1492779/
Ноутбук MSI GF63 Thin 11UC-622RU,черный,89 990,89 890,https://www.citilink.ru/product/noutbuk-msi-gf63-thin-11uc-i5-11400h-16gb-ssd512gb-rtx-3050-4gb-15-6-i-1649504/
Ультрабук Honor MagicBook 15,серебристый,64 990,64 890,https://www.citilink.ru/product/ultrabuk-honor-magicbook-15-ryzen-5-5500u-8gb-ssd512gb-15-6-ips-fhd-w1-1635680/
Ноутбук MSI Pulse GL76 11UDK-237XRU,серый,96 490,96 390,https://www.citilink.ru/product/noutbuk-msi-pulse-gl76-11udk-i5-11400h-8gb-ssd512gb-rtx-3050-ti-4gb-17-1525982/
Ноутбук Acer Aspire 1 A115-32-C8RY,серебристый,25 990,25 890,https://www.citilink.ru/product/noutbuk-acer-aspire-1-a115-32-c8ry-cel-n4500-8gb-emmc128gb-15-6-fhd-es-1521981/
Ноутбук Lenovo IdeaPad 3 17ITL6,серый,27 990,27 890,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-17itl6-cel-6305-4gb-ssd256gb-17-3-tn-hd-w10-g-1492780/
Ноутбук Acer Aspire 3 A315-56-3252,черный,33 990,33 890,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-56-3252-i3-1005g1-4gb-ssd128gb-15-6-tn-fhd-1685548/
Ноутбук Acer Aspire 3 A315-56-53W1,черный,45 990,45 890,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-56-53w1-15-6-intel-core-i5-1035g1-1ggc-8gb-1194679/
Ноутбук ASUS Vivobook Go 14 E410MA-BV1516,черный,24 990,24 890,https://www.citilink.ru/product/noutbuk-asus-vivobook-e410ma-bv1516-pen-n5030-4gb-ssd256gb-14-tn-hd-no-1583400/
Ноутбук HP 255 G8,темно-серебристый,29 990,29 890,https://www.citilink.ru/product/noutbuk-hp-255-g8-athlon-3150u-4gb-ssd128gb-15-6-fhd-w10pro64-1490260/
Ноутбук ASUS Zenbook Pro 15 OLED UX535LI-H2346T,серый,109 990,109 890,https://www.citilink.ru/product/noutbuk-asus-ux535li-h2346t-i5-10300h-16gb-ssd512gb-gtx-1650-ti-4gb-15-1583796/
Ноутбук Lenovo IdeaPad 3 14ITL6,синий,45 990,45 890,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-14itl6-i3-1115g4-8gb-ssd512gb-14-ips-fhd-w11-1636469/
Ноутбук Acer Aspire 1 A114-33-P9R1,серебристый,23 990,23 890,https://www.citilink.ru/product/noutbuk-acer-aspire-1-a114-33-p9r1-pen-n6000-4gb-ssd128gb-14-ips-fhd-w-1624970/
Ноутбук Acer Aspire 3 A314-22-R7SR,черный,29 990,29 890,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a314-22-r7sr-ryzen-3-3250u-4gb-ssd128gb-14-fhd-w-1372374/
Ноутбук Acer Aspire 3 A315-23-R2U8,черный,29 990,29 890,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r2u8-ryzen-3-3250u-4gb-ssd128gb-15-6-fhd-1372483/
Ноутбук Acer Aspire 5 A515-45-R4FZ,черный,50 990,50 890,https://www.citilink.ru/product/noutbuk-acer-aspire-5-a515-45-r4fz-ryzen-5-5500u-8gb-ssd128gb-15-6-ips-1521509/
Ноутбук IRBIS NB NB69,серебристый,11 990,11 890,https://www.citilink.ru/product/noutbuk-irbis-nb-nb69-atom-z3735f-2gb-ssd32gb-13-3-ips-touch-fhd-w10-w-1499216/
Ноутбук Digma EVE 10 A201,черный,9990,9890,https://www.citilink.ru/product/noutbuk-digma-eve-10ka-windows-10-1-ips-intel-atom-x5-z8350-2gb-64gb-s-1442097/
Ноутбук Lenovo IdeaPad 1 14IGL05,серый,23 990,23 890,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-1-14igl05-cel-n4020-4gb-ssd128gb-14-ips-fhd-w10-1601156/
Ноутбук Acer Aspire 3 A315-23-R6JR,черный,40 990,40 790,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r6jr-ryzen-5-3500u-8gb-1tb-ssd256gb-vega-1688038/
Ноутбук ASUS Vivobook Go 15 E510MA-BQ860W,синий,25 990,25 890,https://www.citilink.ru/product/noutbuk-asus-vivobook-e510ma-bq860w-pen-n5030-4gb-ssd128gb-15-6-ips-fh-1583412/
Ноутбук ASUS Vivobook Go 14 E410MA-EK1327W,черный,21 990,21 890,https://www.citilink.ru/product/noutbuk-asus-vivobook-e410ma-ek1327w-cel-n4020-4gb-ssd128gb-14-tn-fhd-1583392/
Ноутбук Lenovo IdeaPad 3 15ADA05,серый,27 990,27 890,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-3-15ada05-3020e-4gb-ssd256gb-15-6-ips-fhd-dos-g-1521606/
Ноутбук ASUS Vivobook Go 15 E510KA-BQ111T,синий,23 990,23 890,https://www.citilink.ru/product/noutbuk-asus-e510ka-bq111t-cel-n4500-4gb-ssd128gb-15-6-ips-fhd-w10-blu-1561875/
